PF00909	PF00909.23
PF14828	PF14828.8
PF10423	PF10423.11
PF02461	PF02461.18
PF04896	PF04896.14
PF03782	PF03782.19
PF00501	PF00501.30
PF13193	PF13193.8
PF14535	PF14535.8
PF17113	PF17113.7
PF20068	PF20068.1
PF16561	PF16561.7
PF04739	PF04739.17
PF19326	PF19326.1
PF05195	PF05195.18
PF12859	PF12859.9
PF03256	PF03256.18
PF15243	PF15243.8
PF17256	PF17256.4
PF08672	PF08672.13
PF12895	PF12895.9
PF12896	PF12896.9
PF12894	PF12894.9
PF12862	PF12862.9
PF04049	PF04049.15
PF12856	PF12856.9
PF10471	PF10471.11
PF01821	PF01821.20
PF02166	PF02166.18
PF06369	PF06369.14
PF03139	PF03139.17
PF09582	PF09582.12
PF01094	PF01094.30
PF12240	PF12240.10
PF08174	PF08174.13
PF16018	PF16018.7
PF00023	PF00023.32
PF07260	PF07260.13
PF18418	PF18418.3
PF12796	PF12796.9
PF13606	PF13606.8
PF13637	PF13637.8
PF13857	PF13857.8
PF03702	PF03702.16
PF00191	PF00191.22
PF18411	PF18411.3
PF04547	PF04547.14
PF16178	PF16178.7
PF10731	PF10731.11
PF00212	PF00212.20
PF03452	PF03452.16
PF03374	PF03374.16
PF08346	PF08346.14
PF03861	PF03861.16
PF07651	PF07651.18
PF09156	PF09156.12
PF03497	PF03497.18
PF05587	PF05587.15
PF04715	PF04715.15
PF10796	PF10796.11
PF15777	PF15777.7
PF02522	PF02522.16
PF08264	PF08264.15
PF19269	PF19269.1
PF19303	PF19303.1
PF11410	PF11410.10
PF11402	PF11402.10
PF11641	PF11641.10
PF16364	PF16364.7
PF09255	PF09255.12
PF08105	PF08105.13
PF08106	PF08106.13
PF08107	PF08107.13
PF08108	PF08108.13
PF08109	PF08109.13
PF08110	PF08110.14
PF08129	PF08129.13
PF08130	PF08130.13
PF08225	PF08225.13
PF08256	PF08256.13
PF14861	PF14861.8
PF16047	PF16047.7
PF16048	PF16048.7
PF16049	PF16049.7
PF16839	PF16839.7
PF08018	PF08018.13
PF08023	PF08023.14
PF08025	PF08025.13
PF08024	PF08024.13
PF08026	PF08026.13
PF08036	PF08036.13
PF08102	PF08102.13
PF08103	PF08103.13
PF08104	PF08104.13
PF03230	PF03230.15
PF02822	PF02822.16
PF03589	PF03589.15
PF05586	PF05586.13
PF15721	PF15721.7
PF03098	PF03098.17
PF18678	PF18678.3
PF01786	PF01786.19
PF15001	PF15001.8
PF15745	PF15745.7
PF00847	PF00847.22
PF14796	PF14796.8
PF06375	PF06375.13
PF19327	PF19327.1
PF14807	PF14807.8
PF17908	PF17908.3
PF02558	PF02558.18
PF08546	PF08546.13
PF02424	PF02424.17
PF05839	PF05839.13
PF05841	PF05841.13
PF18122	PF18122.3
PF19521	PF19521.1
PF14921	PF14921.8
PF05972	PF05972.13
PF05956	PF05956.13
PF16689	PF16689.7
PF05923	PF05923.14
PF18797	PF18797.3
PF16634	PF16634.7
PF16635	PF16635.7
PF16636	PF16636.7
PF16630	PF16630.7
PF16633	PF16633.7
PF18862	PF18862.3
PF16977	PF16977.7
PF19283	PF19283.1
PF15360	PF15360.8
PF18946	PF18946.2
PF04110	PF04110.15
PF04106	PF04106.14
PF04111	PF04111.14
PF17675	PF17675.3
PF01636	PF01636.25
PF06105	PF06105.14
PF14557	PF14557.8
PF04655	PF04655.16
PF05918	PF05918.13
PF00807	PF00807.19
PF11671	PF11671.10
PF20067	PF20067.1
PF05355	PF05355.13
PF05778	PF05778.14
PF05418	PF05418.13
PF04711	PF04711.15
PF12491	PF12491.10
PF18769	PF18769.3
PF18772	PF18772.3
PF18771	PF18771.3
PF18775	PF18775.3
PF18774	PF18774.3
PF05240	PF05240.16
PF08210	PF08210.13
PF04691	PF04691.14
PF15119	PF15119.8
PF01333	PF01333.21
PF16639	PF16639.7
PF05461	PF05461.13
PF01442	PF01442.20
PF15148	PF15148.8
PF07464	PF07464.13
PF11032	PF11032.10
PF09769	PF09769.11
PF05634	PF05634.13
PF10515	PF10515.11
PF12924	PF12924.9
PF12925	PF12925.9
PF02177	PF02177.18
PF12716	PF12716.9
PF12139	PF12139.10
PF01583	PF01583.22
PF03440	PF03440.16
PF10351	PF10351.11
PF06079	PF06079.13
PF01261	PF01261.26
PF16399	PF16399.7
PF12489	PF12489.10
PF09206	PF09206.13
PF12625	PF12625.9
PF02610	PF02610.17
PF11762	PF11762.10
PF04602	PF04602.14
PF14896	PF14896.8
PF17689	PF17689.3
PF02311	PF02311.21
PF14525	PF14525.8
PF06719	PF06719.15
PF06081	PF06081.13
PF11728	PF11728.10
PF10334	PF10334.11
PF10337	PF10337.11
PF19368	PF19368.1
PF09692	PF09692.12
PF09757	PF09757.11
PF03869	PF03869.16
PF13355	PF13355.8
PF18653	PF18653.3
PF12942	PF12942.9
PF01951	PF01951.18
PF01917	PF01917.18
PF04659	PF04659.15
PF18162	PF18162.3
PF19284	PF19284.1
PF06819	PF06819.13
PF06847	PF06847.13
PF08394	PF08394.12
PF03079	PF03079.16
PF07275	PF07275.13
PF08401	PF08401.13
PF07573	PF07573.13
PF17296	PF17296.4
PF00798	PF00798.20
PF17290	PF17290.4
PF00843	PF00843.19
PF06317	PF06317.13
PF00025	PF00025.23
PF14949	PF14949.8
PF03889	PF03889.15
PF06456	PF06456.15
PF01412	PF01412.20
PF00491	PF00491.23
PF00764	PF00764.21
PF01960	PF01960.20
PF15346	PF15346.8
PF08699	PF08699.12
PF16488	PF16488.7
PF16487	PF16487.7
PF16486	PF16486.7
PF11581	PF11581.10
PF17944	PF17944.3
PF17810	PF17810.3
PF01316	PF01316.23
PF02863	PF02863.20
PF03485	PF03485.18
PF15441	PF15441.8
PF19422	PF19422.1
PF18938	PF18938.2
PF01388	PF01388.23
PF06770	PF06770.13
PF15840	PF15840.7
PF11527	PF11527.10
PF15062	PF15062.8
PF18719	PF18719.3
PF00514	PF00514.25
PF09003	PF09003.12
PF12167	PF12167.10
